 Total battles: 995612
 Avg. weight/team: 0.521
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Great Tusk         | 33.42700% | 541503 | 27.194% | 422115 | 27.041% | 
 | 2    | Kingambit          | 22.75636% | 379665 | 19.067% | 252164 | 16.154% | 
 | 3    | Gholdengo          | 22.29982% | 377932 | 18.980% | 285374 | 18.282% | 
 | 4    | Iron Valiant       | 16.84820% | 282122 | 14.168% | 202035 | 12.943% | 
 | 5    | Slowking-Galar     | 16.41610% | 266414 | 13.379% | 221722 | 14.204% | 
 | 6    | Dragapult          | 16.15357% | 304242 | 15.279% | 235443 | 15.083% | 
 | 7    | Roaring Moon       | 16.11449% | 257554 | 12.934% | 184564 | 11.823% | 
 | 8    | Raging Bolt        | 16.09932% | 247574 | 12.433% | 186017 | 11.917% | 
 | 9    | Ogerpon-Wellspring | 16.07204% | 260542 | 13.085% | 204597 | 13.107% | 
 | 10   | Landorus-Therian   | 14.76680% | 248472 | 12.478% | 219525 | 14.063% | 
 | 11   | Dragonite          | 13.72671% | 251094 | 12.610% | 183244 | 11.739% | 
 | 12   | Iron Moth          | 13.04772% | 217764 | 10.936% | 166476 | 10.665% | 
 | 13   | Samurott-Hisui     | 13.01068% | 208920 | 10.492% | 185023 | 11.853% | 
 | 14   | Kyurem             | 12.87333% | 199330 | 10.010% | 153810 |  9.853% | 
 | 15   | Zamazenta          | 12.16536% | 191273 |  9.606% | 142038 |  9.099% | 
 | 16   | Gliscor            | 11.49433% | 250299 | 12.570% | 208674 | 13.368% | 
 | 17   | Cinderace          | 11.35155% | 216519 | 10.874% | 168134 | 10.771% | 
 | 18   | Corviknight        | 11.00457% | 226366 | 11.368% | 183855 | 11.778% | 
 | 19   | Iron Treads        | 10.13988% | 170386 |  8.557% | 141733 |  9.080% | 
 | 20   | Darkrai            | 10.01452% | 172643 |  8.670% | 134715 |  8.630% | 
 | 21   | Glimmora           |  9.29283% | 185193 |  9.300% | 164215 | 10.520% | 
 | 22   | Iron Crown         |  9.09257% | 141124 |  7.087% | 114646 |  7.344% | 
 | 23   | Hatterene          |  8.06849% | 152692 |  7.668% | 119952 |  7.684% | 
 | 24   | Rillaboom          |  7.98007% | 149312 |  7.499% | 119997 |  7.687% | 
 | 25   | Meowscarada        |  7.73887% | 166884 |  8.381% | 134304 |  8.604% | 
 | 26   | Primarina          |  7.18006% | 133401 |  6.699% | 107694 |  6.899% | 
 | 27   | Ting-Lu            |  7.04009% | 108278 |  5.438% | 92623  |  5.934% | 
 | 28   | Alomomola          |  6.96200% | 130094 |  6.533% | 105377 |  6.751% | 
 | 29   | Zapdos             |  6.95921% | 130480 |  6.553% | 109009 |  6.983% | 
 | 30   | Garganacl          |  6.71846% | 142633 |  7.163% | 112720 |  7.221% | 
 | 31   | Moltres            |  6.66263% | 108849 |  5.466% | 91747  |  5.877% | 
 | 32   | Walking Wake       |  6.18655% | 119453 |  5.999% | 95289  |  6.104% | 
 | 33   | Clefable           |  5.49007% | 105726 |  5.310% | 83509  |  5.350% | 
 | 34   | Enamorus           |  5.46565% | 95230  |  4.782% | 72265  |  4.629% | 
 | 35   | Dondozo            |  5.45287% | 101238 |  5.084% | 74040  |  4.743% | 
 | 36   | Torkoal            |  4.86633% | 100126 |  5.028% | 92064  |  5.898% | 
 | 37   | Deoxys-Speed       |  4.32724% | 86670  |  4.353% | 72312  |  4.632% | 
 | 38   | Heatran            |  4.28170% | 85368  |  4.287% | 70105  |  4.491% | 
 | 39   | Ribombee           |  4.11262% | 74077  |  3.720% | 68123  |  4.364% | 
 | 40   | Ninetales-Alola    |  3.73398% | 74884  |  3.761% | 65814  |  4.216% | 
 | 41   | Garchomp           |  3.65754% | 89987  |  4.519% | 73088  |  4.682% | 
 | 42   | Pelipper           |  3.63587% | 77514  |  3.893% | 71186  |  4.560% | 
 | 43   | Clodsire           |  3.63037% | 74152  |  3.724% | 58496  |  3.747% | 
 | 44   | Scizor             |  3.61635% | 79296  |  3.982% | 63800  |  4.087% | 
 | 45   | Pecharunt          |  3.50933% | 58724  |  2.949% | 47477  |  3.041% | 
 | 46   | Blissey            |  3.48930% | 70095  |  3.520% | 54133  |  3.468% | 
 | 47   | Lokix              |  3.39807% | 64311  |  3.230% | 52154  |  3.341% | 
 | 48   | Toxapex            |  3.04360% | 77877  |  3.911% | 62840  |  4.026% | 
 | 49   | Ursaluna           |  2.97527% | 58917  |  2.959% | 46826  |  3.000% | 
 | 50   | Ceruledge          |  2.81017% | 73961  |  3.714% | 56334  |  3.609% | 
 | 51   | Tinkaton           |  2.75702% | 53233  |  2.673% | 45869  |  2.938% | 
 | 52   | Araquanid          |  2.70450% | 43555  |  2.187% | 40128  |  2.571% | 
 | 53   | Sinistcha          |  2.69669% | 49264  |  2.474% | 36304  |  2.326% | 
 | 54   | Greninja           |  2.59928% | 62605  |  3.144% | 49002  |  3.139% | 
 | 55   | Serperior          |  2.56200% | 63289  |  3.178% | 48314  |  3.095% | 
 | 56   | Weavile            |  2.45575% | 51498  |  2.586% | 40159  |  2.573% | 
 | 57   | Barraskewda        |  2.41009% | 43979  |  2.209% | 35354  |  2.265% | 
 | 58   | Blaziken           |  2.32159% | 62065  |  3.117% | 45925  |  2.942% | 
 | 59   | Skeledirge         |  2.26334% | 55569  |  2.791% | 42443  |  2.719% | 
 | 60   | Rotom-Wash         |  2.18197% | 54610  |  2.743% | 46559  |  2.983% | 
 | 61   | Hoopa-Unbound      |  2.17988% | 36829  |  1.850% | 28738  |  1.841% | 
 | 62   | Skarmory           |  1.99957% | 39397  |  1.979% | 33923  |  2.173% | 
 | 63   | Venusaur           |  1.93466% | 46769  |  2.349% | 36482  |  2.337% | 
 | 64   | Hawlucha           |  1.91149% | 36100  |  1.813% | 26545  |  1.701% | 
 | 65   | Tyranitar          |  1.90183% | 44976  |  2.259% | 37792  |  2.421% | 
 | 66   | Iron Hands         |  1.87791% | 35879  |  1.802% | 28041  |  1.796% | 
 | 67   | Weezing-Galar      |  1.81648% | 34321  |  1.724% | 28393  |  1.819% | 
 | 68   | Quaquaval          |  1.77864% | 44144  |  2.217% | 34923  |  2.237% | 
 | 69   | Slither Wing       |  1.69235% | 31637  |  1.589% | 25240  |  1.617% | 
 | 70   | Excadrill          |  1.62505% | 39739  |  1.996% | 30677  |  1.965% | 
 | 71   | Latias             |  1.60451% | 30690  |  1.541% | 22312  |  1.429% | 
 | 72   | Hydrapple          |  1.50754% | 33730  |  1.694% | 25251  |  1.618% | 
 | 73   | Tornadus-Therian   |  1.42996% | 23655  |  1.188% | 19592  |  1.255% | 
 | 74   | Ogerpon-Cornerstone |  1.36457% | 22981  |  1.154% | 18176  |  1.164% | 
 | 75   | Ninetales          |  1.32462% | 26551  |  1.333% | 23498  |  1.505% | 
 | 76   | Goodra-Hisui       |  1.31831% | 32186  |  1.616% | 26114  |  1.673% | 
 | 77   | Grimmsnarl         |  1.29009% | 39331  |  1.975% | 34268  |  2.195% | 
 | 78   | Latios             |  1.27843% | 27630  |  1.388% | 21280  |  1.363% | 
 | 79   | Maushold           |  1.21139% | 34693  |  1.742% | 25843  |  1.656% | 
 | 80   | Iron Boulder       |  1.19551% | 24104  |  1.211% | 16627  |  1.065% | 
 | 81   | Keldeo             |  1.19026% | 20240  |  1.016% | 16240  |  1.040% | 
 | 82   | Ogerpon            |  1.15353% | 19719  |  0.990% | 15155  |  0.971% | 
 | 83   | Kommo-o            |  1.13851% | 29267  |  1.470% | 21428  |  1.373% | 
 | 84   | Mimikyu            |  1.09416% | 30889  |  1.551% | 22979  |  1.472% | 
 | 85   | Amoonguss          |  1.09165% | 23507  |  1.181% | 18261  |  1.170% | 
 | 86   | Moltres-Galar      |  1.08090% | 25559  |  1.284% | 18992  |  1.217% | 
 | 87   | Manaphy            |  0.99031% | 18060  |  0.907% | 14025  |  0.898% | 
 | 88   | Okidogi            |  0.98023% | 19972  |  1.003% | 15551  |  0.996% | 
 | 89   | Thundurus-Therian  |  0.97006% | 22861  |  1.148% | 18045  |  1.156% | 
 | 90   | Indeedee           |  0.96438% | 18585  |  0.933% | 15527  |  0.995% | 
 | 91   | Arcanine-Hisui     |  0.95003% | 26610  |  1.336% | 20430  |  1.309% | 
 | 92   | Azumarill          |  0.92143% | 26917  |  1.352% | 21599  |  1.384% | 
 | 93   | Gengar             |  0.91913% | 34565  |  1.736% | 26432  |  1.693% | 
 | 94   | Mandibuzz          |  0.87915% | 19507  |  0.980% | 15641  |  1.002% | 
 | 95   | Lilligant-Hisui    |  0.86531% | 19758  |  0.992% | 14780  |  0.947% | 
 | 96   | Volcanion          |  0.85113% | 19992  |  1.004% | 16024  |  1.027% | 
 | 97   | Reuniclus          |  0.85018% | 16848  |  0.846% | 12668  |  0.812% | 
 | 98   | Zoroark-Hisui      |  0.83303% | 30419  |  1.528% | 11982  |  0.768% | 
 | 99   | Cresselia          |  0.80440% | 13809  |  0.693% | 10551  |  0.676% | 
 | 100  | Chansey            |  0.76522% | 17112  |  0.859% | 13792  |  0.884% | 
 | 101  | Hydreigon          |  0.75296% | 18523  |  0.930% | 14366  |  0.920% | 
 | 102  | Polteageist        |  0.71650% | 17173  |  0.862% | 12513  |  0.802% | 
 | 103  | Metagross          |  0.71534% | 28023  |  1.407% | 21809  |  1.397% | 
